"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-04","Apr-1960","IDX","Index","0","Units",,,98.29563,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-05","May-1960","IDX","Index","0","Units",,,97.88349,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-06","Jun-1960","IDX","Index","0","Units",,,97.87867,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-07","Jul-1960","IDX","Index","0","Units",,,98.05251,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-08","Aug-1960","IDX","Index","0","Units",,,98.3027,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-09","Sep-1960","IDX","Index","0","Units",,,98.3225,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-10","Oct-1960","IDX","Index","0","Units",,,98.22516,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-11","Nov-1960","IDX","Index","0","Units",,,98.03077,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1960-12","Dec-1960","IDX","Index","0","Units",,,97.89817,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-01","Jan-1961","IDX","Index","0","Units",,,97.93801,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-02","Feb-1961","IDX","Index","0","Units",,,98.34537,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-03","Mar-1961","IDX","Index","0","Units",,,99.27019,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-04","Apr-1961","IDX","Index","0","Units",,,100.3426,,
